BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMV5,SMG8,0.5811534255508657,1.8393444802876013e-10,0.4188465742646186,5.789256068919024,7.2365700861392535,8.683884103362013,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,10.0,4.0,0.03162277660168379
Treat_TMEMV5,SMG9,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,4.0,0.03162277660168379
Treat_TMEMmyc,SMG9,0.8946719716791026,7.731324297893462e-11,0.10532802824268951,6.335755677361215,7.9196945967109125,9.503633516050334,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,6.0,5.0,0.03162277660168379
Treat_TMEMV5,SMIM7,0.9944758773588304,2.1629494427258315e-11,0.005524122618545647,5.789256068859305,7.2365700861392535,8.683884103366841,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,1.0,0.03162277660168379
Treat_TMEMmyc,SMIM7,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,SMN1,0.0007562969336570968,1.1071658899114188e-11,0.999243703054272,6.335755677368759,7.9196945967109125,9.503633516102989,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,19.0,15.0,0.03162277660168379
Treat_TMEMV5,SMN1,0.01578776825345473,5.8170548283225735e-11,0.9842122316873904,5.789256068912494,7.2365700861392535,8.683884103394506,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,15.0,10.0,0.03162277660168379
Treat_TMEMV5,SMNDC1,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,SMNDC1,0.9847333941340946,2.7884230201029288e-11,0.015266605837036375,6.335755677335889,7.9196945967109125,9.50363351605248,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,3.0,0.03162277660168379
Treat_TMEMV5,SMPD4,4.969400450595751e-12,3.132038644087773e-15,0.9999999999940274,5.789256068911337,7.2365700861392535,8.683884103591588,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,39.0,40.0,0.03162277660168379
Treat_TMEMmyc,SMPD4,1.9982424240399792e-08,9.678963923013529e-14,0.9999999800164789,6.335755677368679,7.9196945967109125,9.50363351618954,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,31.0,29.0,0.03162277660168379
Treat_TMEMV5,SMS,0.824031743579531,1.3353225229701976e-10,0.17596825628611265,5.789256068908733,7.2365700861392535,8.68388410336307,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,8.0,3.0,0.03162277660168379
Treat_TMEMmyc,SMS,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,0.0,0.03162277660168379
Treat_TMEMV5,SMTN,0.7573931661674845,1.5341704998128562e-10,0.24260683367834102,5.7892560689130805,7.2365700861392535,8.683884103362407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,8.0,0.03162277660168379
Treat_TMEMmyc,SMTN,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,7.0,3.0,0.03162277660168379
Treat_TMEMV5,SMU1,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,1.0,0.03162277660168379
Treat_TMEMmyc,SMU1,0.9897702046676986,2.2421484147619252e-11,0.010229795308889985,6.335755677330781,7.9196945967109125,9.503633516052664,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,1.0,0.03162277660168379
Treat_TMEMV5,SMUG1,0.9404924686576229,7.803106158919648e-11,0.05950753126340539,5.7892560688929535,7.2365700861392535,8.68388410336512,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,6.0,2.0,0.03162277660168379
Treat_TMEMmyc,SMUG1,0.9662933691314884,4.2753238636047455e-11,0.03370663082479184,6.33575567734615,7.9196945967109125,9.503633516051906,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,0.0,0.03162277660168379
Treat_TMEMV5,SMURF2,0.9917366399511276,2.6962396242920722e-11,0.008263360020918037,5.789256068864867,7.2365700861392535,8.683884103366719,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,1.0,0.03162277660168379
