rank,Protein,BaitUnit,gamma3,pi1,pi2,pi3,rep1,rep2,gamma3_avg,FDR
1,DIDO1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,72.0,60.0,0.9999999999989999,1.000088900582341e-12
1,DIDO1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,85.0,79.0,0.9999999999989999,1.000088900582341e-12
1,DIS3,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,67.0,54.0,0.9999999999989999,1.000088900582341e-12
1,DIS3,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,70.0,60.0,0.9999999999989999,1.000088900582341e-12
1,DNM2,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,54.0,58.0,0.9999999999989999,1.000088900582341e-12
1,DNM2,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,77.0,65.0,0.9999999999989999,1.000088900582341e-12
1,DOCK7,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,74.0,52.0,0.9999999999989999,1.000088900582341e-12
1,DOCK7,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,97.0,74.0,0.9999999999989999,1.000088900582341e-12
1,DSP,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,209.0,180.0,0.9999999999989999,1.000088900582341e-12
1,DSP,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,208.0,193.0,0.9999999999989999,1.000088900582341e-12
1,DYNC1H1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,333.0,256.0,0.9999999999989999,1.000088900582341e-12
1,DYNC1H1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,398.0,333.0,0.9999999999989999,1.000088900582341e-12
1,DYNC2H1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,100.0,78.0,0.9999999999989999,1.000088900582341e-12
1,DYNC2H1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,127.0,106.0,0.9999999999989999,1.000088900582341e-12
1,ECPAS,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,89.0,72.0,0.9999999999989999,1.000088900582341e-12
1,ECPAS,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,74.0,66.0,0.9999999999989999,1.000088900582341e-12
1,EDC4,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,78.0,49.0,0.9999999999989999,1.000088900582341e-12
1,EDC4,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,84.0,54.0,0.9999999999989999,1.000088900582341e-12
1,EEF1A1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,268.0,219.0,0.9999999999989999,1.000088900582341e-12
1,EEF1A1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,317.0,173.0,0.9999999999989999,1.000088900582341e-12
